| PRUEBA N. | IMG1.JPG     | IMG2.JPG     | IMG3.JPG     | IMG4.JPG     | IMG5.JPG     | IMG6.JPG     | IMG7.JPG     | IMG8.JPG     |
| 14        | 0,0005520000 | 0,0006420000 | 0,0008470000 | 0,0011950000 | 0,0009030000 | 0,0013190000 | 0,0013150000 | 0,0013330000 |
| 15        | 0,0005530000 | 0,0006410000 | 0,0008460000 | 0,0011940000 | 0,0009040000 | 0,0013170000 | 0,0013320000 | 0,0013370000 |
| 16        | 0,0005530000 | 0,0006420000 | 0,0008420000 | 0,0011950000 | 0,0009040000 | 0,0013160000 | 0,0013080000 | 0,0013370000 |
| 17        | 0,0005530000 | 0,0006430000 | 0,0008430000 | 0,0012130000 | 0,0009020000 | 0,0013300000 | 0,0013160000 | 0,0013400000 |
| 18        | 0,0005580000 | 0,0006400000 | 0,0008450000 | 0,0012150000 | 0,0008980000 | 0,0013170000 | 0,0013110000 | 0,0013330000 |
| 19        | 0,0005540000 | 0,0006420000 | 0,0008630000 | 0,0011900000 | 0,0009030000 | 0,0013160000 | 0,0013120000 | 0,0013340000 |
| 20        | 0,0005550000 | 0,0006420000 | 0,0008470000 | 0,0011990000 | 0,0009070000 | 0,0013170000 | 0,0013160000 | 0,0013390000 |
| 21        | 0,0005580000 | 0,0006420000 | 0,0008490000 | 0,0011960000 | 0,0009120000 | 0,0013110000 | 0,0013360000 | 0,0013400000 |
| 22        | 0,0005630000 | 0,0006430000 | 0,0008470000 | 0,0012020000 | 0,0009070000 | 0,0013440000 | 0,0012980000 | 0,0013370000 |
| 23        | 0,0005550000 | 0,0006420000 | 0,0008460000 | 0,0011970000 | 0,0009030000 | 0,0013130000 | 0,0013120000 | 0,0013380000 |
| 24        | 0,0005540000 | 0,0006440000 | 0,0008460000 | 0,0011950000 | 0,0009150000 | 0,0013190000 | 0,0013170000 | 0,0013400000 |
| 25        | 0,0005630000 | 0,0006380000 | 0,0008500000 | 0,0012040000 | 0,0009050000 | 0,0013170000 | 0,0013170000 | 0,0013870000 |
| 26        | 0,0005530000 | 0,0007120000 | 0,0008510000 | 0,0012220000 | 0,0009280000 | 0,0013100000 | 0,0013120000 | 0,0013310000 |
| 27        | 0,0005540000 | 0,0006390000 | 0,0008500000 | 0,0011980000 | 0,0009180000 | 0,0013230000 | 0,0013380000 | 0,0013400000 |
| 28        | 0,0005660000 | 0,0006390000 | 0,0008540000 | 0,0011970000 | 0,0009020000 | 0,0013280000 | 0,0013180000 | 0,0013300000 |
| 29        | 0,0005550000 | 0,0006420000 | 0,0008520000 | 0,0012020000 | 0,0009000000 | 0,0013400000 | 0,0013150000 | 0,0013410000 |
| 30        | 0,0005530000 | 0,0006410000 | 0,0008490000 | 0,0011970000 | 0,0009060000 | 0,0013400000 | 0,0013100000 | 0,0013370000 |
| 31        | 0,0005580000 | 0,0006430000 | 0,0008470000 | 0,0012150000 | 0,0009080000 | 0,0013170000 | 0,0013240000 | 0,0013420000 |
| 32        | 0,0005810000 | 0,0006410000 | 0,0008450000 | 0,0011970000 | 0,0009070000 | 0,0013180000 | 0,0013160000 | 0,0013370000 |
| 33        | 0,0005510000 | 0,0006410000 | 0,0008480000 | 0,0011940000 | 0,0009070000 | 0,0013180000 | 0,0013230000 | 0,0013380000 |
| 34        | 0,0005590000 | 0,0006410000 | 0,0008490000 | 0,0011930000 | 0,0009060000 | 0,0013650000 | 0,0013180000 | 0,0013340000 |
| 35        | 0,0005560000 | 0,0006430000 | 0,0008740000 | 0,0011960000 | 0,0008990000 | 0,0013180000 | 0,0013380000 | 0,0013340000 |
| 36        | 0,0005550000 | 0,0006660000 | 0,0008630000 | 0,0011970000 | 0,0009070000 | 0,0013200000 | 0,0013190000 | 0,0013950000 |
| 37        | 0,0005560000 | 0,0006430000 | 0,0008430000 | 0,0011920000 | 0,0009030000 | 0,0013200000 | 0,0013150000 | 0,0013260000 |
| 38        | 0,0005520000 | 0,0006610000 | 0,0008460000 | 0,0011960000 | 0,0009200000 | 0,0013140000 | 0,0013330000 | 0,0013650000 |
| 39        | 0,0005580000 | 0,0006400000 | 0,0008520000 | 0,0011960000 | 0,0009080000 | 0,0013220000 | 0,0013170000 | 0,0013360000 |
| 40        | 0,0005560000 | 0,0006430000 | 0,0008480000 | 0,0011940000 | 0,0009000000 | 0,0013150000 | 0,0013190000 | 0,0013390000 |
| 41        | 0,0005540000 | 0,0006880000 | 0,0008460000 | 0,0011890000 | 0,0009010000 | 0,0013190000 | 0,0013220000 | 0,0013330000 |
| 42        | 0,0005550000 | 0,0006420000 | 0,0008510000 | 0,0011950000 | 0,0009220000 | 0,0013260000 | 0,0013190000 | 0,0013370000 |
| 43        | 0,0005520000 | 0,0006400000 | 0,0008470000 | 0,0011990000 | 0,0009090000 | 0,0013330000 | 0,0013230000 | 0,0013630000 |
| 44        | 0,0005550000 | 0,0006610000 | 0,0008470000 | 0,0011990000 | 0,0009080000 | 0,0013180000 | 0,0013130000 | 0,0013360000 |
| 45        | 0,0005530000 | 0,0006440000 | 0,0008660000 | 0,0011980000 | 0,0009090000 | 0,0013270000 | 0,0013200000 | 0,0013390000 |
| 46        | 0,0005500000 | 0,0006480000 | 0,0008490000 | 0,0012160000 | 0,0009000000 | 0,0013170000 | 0,0013140000 | 0,0013590000 |
| 47        | 0,0005520000 | 0,0006400000 | 0,0008470000 | 0,0012010000 | 0,0009260000 | 0,0013130000 | 0,0013150000 | 0,0013390000 |
| 48        | 0,0005570000 | 0,0006410000 | 0,0008710000 | 0,0012000000 | 0,0009010000 | 0,0013420000 | 0,0013140000 | 0,0013370000 |
| 49        | 0,0005530000 | 0,0006430000 | 0,0008460000 | 0,0011920000 | 0,0009090000 | 0,0013710000 | 0,0013160000 | 0,0013390000 |
| 50        | 0,0005530000 | 0,0006410000 | 0,0008490000 | 0,0011950000 | 0,0009210000 | 0,0013160000 | 0,0013150000 | 0,0013390000 |
| 51        | 0,0005870000 | 0,0006410000 | 0,0008440000 | 0,0011930000 | 0,0009020000 | 0,0013640000 | 0,0013160000 | 0,0013390000 |
| 52        | 0,0005540000 | 0,0006380000 | 0,0008480000 | 0,0011950000 | 0,0009020000 | 0,0013140000 | 0,0013120000 | 0,0013430000 |
| 53        | 0,0005770000 | 0,0006400000 | 0,0008650000 | 0,0011980000 | 0,0009010000 | 0,0013200000 | 0,0013190000 | 0,0013340000 |
| 54        | 0,0005550000 | 0,0006420000 | 0,0008440000 | 0,0012000000 | 0,0009020000 | 0,0013180000 | 0,0013290000 | 0,0013370000 |
| 55        | 0,0005560000 | 0,0006690000 | 0,0008440000 | 0,0011940000 | 0,0009010000 | 0,0013390000 | 0,0013160000 | 0,0013370000 |
| 56        | 0,0005790000 | 0,0006370000 | 0,0008440000 | 0,0012240000 | 0,0008990000 | 0,0013220000 | 0,0013140000 | 0,0013330000 |
| 57        | 0,0005550000 | 0,0006460000 | 0,0008500000 | 0,0012020000 | 0,0009070000 | 0,0013180000 | 0,0013300000 | 0,0013620000 |
| 58        | 0,0005530000 | 0,0006430000 | 0,0008480000 | 0,0011960000 | 0,0009040000 | 0,0013250000 | 0,0013160000 | 0,0013930000 |
| 59        | 0,0005580000 | 0,0006500000 | 0,0008520000 | 0,0011940000 | 0,0009200000 | 0,0013400000 | 0,0013180000 | 0,0013340000 |
| 60        | 0,0005530000 | 0,0006430000 | 0,0008520000 | 0,0011950000 | 0,0009040000 | 0,0013150000 | 0,0013090000 | 0,0013410000 |
| 61        | 0,0005540000 | 0,0006470000 | 0,0008470000 | 0,0011990000 | 0,0009010000 | 0,0013160000 | 0,0013200000 | 0,0013360000 |
| 62        | 0,0005550000 | 0,0006440000 | 0,0008670000 | 0,0012180000 | 0,0009300000 | 0,0013180000 | 0,0013160000 | 0,0013350000 |
| 63        | 0,0005520000 | 0,0006360000 | 0,0008460000 | 0,0011960000 | 0,0009040000 | 0,0013150000 | 0,0013230000 | 0,0013460000 |
| 64        | 0,0005550000 | 0,0006420000 | 0,0008650000 | 0,0011930000 | 0,0009030000 | 0,0013130000 | 0,0013170000 | 0,0013330000 |
| 65        | 0,0005540000 | 0,0006440000 | 0,0008480000 | 0,0011920000 | 0,0009040000 | 0,0013180000 | 0,0013080000 | 0,0013420000 |
| 66        | 0,0005540000 | 0,0006380000 | 0,0008480000 | 0,0011960000 | 0,0009030000 | 0,0013160000 | 0,0013150000 | 0,0013330000 |
| 67        | 0,0005590000 | 0,0006420000 | 0,0008510000 | 0,0011970000 | 0,0009070000 | 0,0013480000 | 0,0013170000 | 0,0013320000 |
| 68        | 0,0005580000 | 0,0006420000 | 0,0008510000 | 0,0012440000 | 0,0009040000 | 0,0013190000 | 0,0013170000 | 0,0013320000 |
| 69        | 0,0005570000 | 0,0006400000 | 0,0008470000 | 0,0012050000 | 0,0009040000 | 0,0013180000 | 0,0013150000 | 0,0013510000 |
| 70        | 0,0005530000 | 0,0006460000 | 0,0008460000 | 0,0012050000 | 0,0009000000 | 0,0013180000 | 0,0013180000 | 0,0013320000 |
| 71        | 0,0005560000 | 0,0006430000 | 0,0008440000 | 0,0011980000 | 0,0009030000 | 0,0013170000 | 0,0013250000 | 0,0013410000 |
| 72        | 0,0005540000 | 0,0006420000 | 0,0008730000 | 0,0011910000 | 0,0009110000 | 0,0013490000 | 0,0013170000 | 0,0013360000 |
| 73        | 0,0005470000 | 0,0006430000 | 0,0008470000 | 0,0012180000 | 0,0009080000 | 0,0013140000 | 0,0013240000 | 0,0013330000 |
| 74        | 0,0005530000 | 0,0006410000 | 0,0008500000 | 0,0011980000 | 0,0009250000 | 0,0013110000 | 0,0013560000 | 0,0013450000 |
| 75        | 0,0005530000 | 0,0006380000 | 0,0008540000 | 0,0012000000 | 0,0009260000 | 0,0013260000 | 0,0013180000 | 0,0013410000 |
| 76        | 0,0005570000 | 0,0006450000 | 0,0008470000 | 0,0011960000 | 0,0009100000 | 0,0013480000 | 0,0013180000 | 0,0013360000 |
| 77        | 0,0005570000 | 0,0006430000 | 0,0008500000 | 0,0011960000 | 0,0009480000 | 0,0013180000 | 0,0013180000 | 0,0013370000 |
| 78        | 0,0005550000 | 0,0006430000 | 0,0008490000 | 0,0012000000 | 0,0009030000 | 0,0013210000 | 0,0013190000 | 0,0013440000 |
| 79        | 0,0005540000 | 0,0006420000 | 0,0008480000 | 0,0011950000 | 0,0009020000 | 0,0013210000 | 0,0013710000 | 0,0013370000 |
| 80        | 0,0005560000 | 0,0006400000 | 0,0008470000 | 0,0011900000 | 0,0009050000 | 0,0013370000 | 0,0013120000 | 0,0013380000 |
| 81        | 0,0005870000 | 0,0006410000 | 0,0008410000 | 0,0011980000 | 0,0009260000 | 0,0013150000 | 0,0013150000 | 0,0013650000 |
| 82        | 0,0005560000 | 0,0006400000 | 0,0008450000 | 0,0011990000 | 0,0009200000 | 0,0013090000 | 0,0013140000 | 0,0013370000 |
| 83        | 0,0005540000 | 0,0006390000 | 0,0008540000 | 0,0011920000 | 0,0009020000 | 0,0013180000 | 0,0013180000 | 0,0013350000 |
| 84        | 0,0005750000 | 0,0006420000 | 0,0008440000 | 0,0011940000 | 0,0009060000 | 0,0013190000 | 0,0013390000 | 0,0013400000 |
| 85        | 0,0005600000 | 0,0006430000 | 0,0008510000 | 0,0012830000 | 0,0009110000 | 0,0013540000 | 0,0013220000 | 0,0013350000 |
| 86        | 0,0005570000 | 0,0006670000 | 0,0008470000 | 0,0011940000 | 0,0009000000 | 0,0013250000 | 0,0013130000 | 0,0013350000 |
| 87        | 0,0005540000 | 0,0006410000 | 0,0008460000 | 0,0011980000 | 0,0009100000 | 0,0013120000 | 0,0013130000 | 0,0014050000 |
| 88        | 0,0005770000 | 0,0006440000 | 0,0008490000 | 0,0012060000 | 0,0009010000 | 0,0013170000 | 0,0013130000 | 0,0013340000 |
| 89        | 0,0005520000 | 0,0006780000 | 0,0008500000 | 0,0012130000 | 0,0009050000 | 0,0013370000 | 0,0013430000 | 0,0013350000 |
| 90        | 0,0005650000 | 0,0006420000 | 0,0008480000 | 0,0011950000 | 0,0008980000 | 0,0013270000 | 0,0013140000 | 0,0013360000 |
| 91        | 0,0005550000 | 0,0006370000 | 0,0008510000 | 0,0011950000 | 0,0009140000 | 0,0013160000 | 0,0013130000 | 0,0013260000 |
| 92        | 0,0005530000 | 0,0006420000 | 0,0008670000 | 0,0012170000 | 0,0009030000 | 0,0013170000 | 0,0013200000 | 0,0013370000 |
| 93        | 0,0005550000 | 0,0006420000 | 0,0008550000 | 0,0012180000 | 0,0009010000 | 0,0013110000 | 0,0013150000 | 0,0013350000 |
| 94        | 0,0005750000 | 0,0006410000 | 0,0008490000 | 0,0011930000 | 0,0009010000 | 0,0013180000 | 0,0013110000 | 0,0013840000 |
| 95        | 0,0005540000 | 0,0006410000 | 0,0008460000 | 0,0011980000 | 0,0009060000 | 0,0013180000 | 0,0013180000 | 0,0013320000 |
| 96        | 0,0005530000 | 0,0006400000 | 0,0008440000 | 0,0011970000 | 0,0009270000 | 0,0013200000 | 0,0013340000 | 0,0013330000 |
| 97        | 0,0005550000 | 0,0006430000 | 0,0008480000 | 0,0011960000 | 0,0009160000 | 0,0013480000 | 0,0013120000 | 0,0013300000 |
| 98        | 0,0005530000 | 0,0006770000 | 0,0008490000 | 0,0011970000 | 0,0009060000 | 0,0013260000 | 0,0013130000 | 0,0013360000 |
| 99        | 0,0005530000 | 0,0006410000 | 0,0008440000 | 0,0012130000 | 0,0009040000 | 0,0013070000 | 0,0013170000 | 0,0013380000 |
| 100       | 0,0005510000 | 0,0006370000 | 0,0008490000 | 0,0011960000 | 0,0009200000 | 0,0013160000 | 0,0013190000 | 0,0013610000 |
| PROMEDIO  | 0,0005568100 | 0,0006451500 | 0,0008507500 | 0,0012003800 | 0,0009085900 | 0,0013229300 | 0,0013193000 | 0,0013415800 |
