| PRUEBA N. | IMG1.JPG     | IMG2.JPG     | IMG3.JPG     | IMG4.JPG     | IMG5.JPG     | IMG6.JPG     | IMG7.JPG     | IMG8.JPG     |
| 29        | 0,0005240000 | 0,0006080000 | 0,0008020000 | 0,0011230000 | 0,0008530000 | 0,0012430000 | 0,0012330000 | 0,0012610000 |
| 30        | 0,0005240000 | 0,0006070000 | 0,0008030000 | 0,0011300000 | 0,0008500000 | 0,0012470000 | 0,0012430000 | 0,0012640000 |
| 31        | 0,0005230000 | 0,0006060000 | 0,0007970000 | 0,0011470000 | 0,0009270000 | 0,0012400000 | 0,0012410000 | 0,0012660000 |
| 32        | 0,0005240000 | 0,0006050000 | 0,0008000000 | 0,0011300000 | 0,0008570000 | 0,0012410000 | 0,0012430000 | 0,0012630000 |
| 33        | 0,0005260000 | 0,0006060000 | 0,0007980000 | 0,0011270000 | 0,0008510000 | 0,0012440000 | 0,0012570000 | 0,0012610000 |
| 34        | 0,0005250000 | 0,0006050000 | 0,0007970000 | 0,0011280000 | 0,0008570000 | 0,0012420000 | 0,0012470000 | 0,0012590000 |
| 35        | 0,0005260000 | 0,0006070000 | 0,0008020000 | 0,0011280000 | 0,0008550000 | 0,0012420000 | 0,0012380000 | 0,0012600000 |
| 36        | 0,0005280000 | 0,0006050000 | 0,0008000000 | 0,0011290000 | 0,0008530000 | 0,0012690000 | 0,0012410000 | 0,0012620000 |
| 37        | 0,0005480000 | 0,0006050000 | 0,0008240000 | 0,0011310000 | 0,0008550000 | 0,0013050000 | 0,0012830000 | 0,0012430000 |
| 38        | 0,0005230000 | 0,0006070000 | 0,0007990000 | 0,0011310000 | 0,0008530000 | 0,0012430000 | 0,0012400000 | 0,0012580000 |
| 39        | 0,0005290000 | 0,0006050000 | 0,0007990000 | 0,0011250000 | 0,0008520000 | 0,0012390000 | 0,0012470000 | 0,0012860000 |
| 40        | 0,0005280000 | 0,0006050000 | 0,0007960000 | 0,0011360000 | 0,0008700000 | 0,0012460000 | 0,0012390000 | 0,0012610000 |
| 41        | 0,0005270000 | 0,0006060000 | 0,0008230000 | 0,0011290000 | 0,0008760000 | 0,0012410000 | 0,0012350000 | 0,0012690000 |
| 42        | 0,0005220000 | 0,0006060000 | 0,0008250000 | 0,0011270000 | 0,0008540000 | 0,0012420000 | 0,0012460000 | 0,0012610000 |
| 43        | 0,0005230000 | 0,0006080000 | 0,0007960000 | 0,0011390000 | 0,0008530000 | 0,0012370000 | 0,0012450000 | 0,0012670000 |
| 44        | 0,0005270000 | 0,0006080000 | 0,0008040000 | 0,0011270000 | 0,0008560000 | 0,0012420000 | 0,0012610000 | 0,0012620000 |
| 45        | 0,0005260000 | 0,0006060000 | 0,0008210000 | 0,0011310000 | 0,0009030000 | 0,0012490000 | 0,0012980000 | 0,0012610000 |
| 46        | 0,0005230000 | 0,0006080000 | 0,0007970000 | 0,0011270000 | 0,0008510000 | 0,0012580000 | 0,0012410000 | 0,0012590000 |
| 47        | 0,0005210000 | 0,0006050000 | 0,0008000000 | 0,0011300000 | 0,0008530000 | 0,0012470000 | 0,0012400000 | 0,0012930000 |
| 48        | 0,0005230000 | 0,0006070000 | 0,0008210000 | 0,0011260000 | 0,0008540000 | 0,0012430000 | 0,0012430000 | 0,0012630000 |
| 49        | 0,0005240000 | 0,0006290000 | 0,0008020000 | 0,0011300000 | 0,0008720000 | 0,0012420000 | 0,0012410000 | 0,0012810000 |
| 50        | 0,0005240000 | 0,0006100000 | 0,0007980000 | 0,0011420000 | 0,0008560000 | 0,0012440000 | 0,0012380000 | 0,0013160000 |
| 51        | 0,0005240000 | 0,0006060000 | 0,0007950000 | 0,0011330000 | 0,0008490000 | 0,0012420000 | 0,0012430000 | 0,0012890000 |
| 52        | 0,0005240000 | 0,0006350000 | 0,0008000000 | 0,0011430000 | 0,0008520000 | 0,0012430000 | 0,0012460000 | 0,0012640000 |
| 53        | 0,0005740000 | 0,0006150000 | 0,0008000000 | 0,0011300000 | 0,0008530000 | 0,0012430000 | 0,0012440000 | 0,0012630000 |
| 54        | 0,0005280000 | 0,0006080000 | 0,0008000000 | 0,0011310000 | 0,0008540000 | 0,0012680000 | 0,0012430000 | 0,0012860000 |
| 55        | 0,0005260000 | 0,0006040000 | 0,0008020000 | 0,0011280000 | 0,0008590000 | 0,0012610000 | 0,0012400000 | 0,0012620000 |
| 56        | 0,0005480000 | 0,0006060000 | 0,0007990000 | 0,0011260000 | 0,0008540000 | 0,0012430000 | 0,0012530000 | 0,0012640000 |
| 57        | 0,0005270000 | 0,0006070000 | 0,0008000000 | 0,0011390000 | 0,0008510000 | 0,0012890000 | 0,0012390000 | 0,0012630000 |
| 58        | 0,0005260000 | 0,0006070000 | 0,0007990000 | 0,0011430000 | 0,0008550000 | 0,0012720000 | 0,0012430000 | 0,0012620000 |
| 59        | 0,0005240000 | 0,0006080000 | 0,0008030000 | 0,0011280000 | 0,0008560000 | 0,0012720000 | 0,0012430000 | 0,0012610000 |
| 60        | 0,0005270000 | 0,0006070000 | 0,0007960000 | 0,0011230000 | 0,0008540000 | 0,0012520000 | 0,0012460000 | 0,0012620000 |
| 61        | 0,0005270000 | 0,0006080000 | 0,0007970000 | 0,0011380000 | 0,0008500000 | 0,0012360000 | 0,0012400000 | 0,0012650000 |
| 62        | 0,0005280000 | 0,0006100000 | 0,0008490000 | 0,0011270000 | 0,0008530000 | 0,0012590000 | 0,0012600000 | 0,0012610000 |
| 63        | 0,0005580000 | 0,0006080000 | 0,0008000000 | 0,0011300000 | 0,0008530000 | 0,0012720000 | 0,0012380000 | 0,0012670000 |
| 64        | 0,0005250000 | 0,0006050000 | 0,0008040000 | 0,0011800000 | 0,0008530000 | 0,0012450000 | 0,0012400000 | 0,0012840000 |
| 65        | 0,0005240000 | 0,0006060000 | 0,0007970000 | 0,0011330000 | 0,0008510000 | 0,0012430000 | 0,0012410000 | 0,0012630000 |
| 66        | 0,0005240000 | 0,0006030000 | 0,0008010000 | 0,0011270000 | 0,0008550000 | 0,0012380000 | 0,0012420000 | 0,0012600000 |
| 67        | 0,0005270000 | 0,0006060000 | 0,0007940000 | 0,0011230000 | 0,0008520000 | 0,0012390000 | 0,0012730000 | 0,0012590000 |
| 68        | 0,0005230000 | 0,0006080000 | 0,0008090000 | 0,0011280000 | 0,0008490000 | 0,0012460000 | 0,0012400000 | 0,0012610000 |
| 69        | 0,0005280000 | 0,0006060000 | 0,0008240000 | 0,0011540000 | 0,0008520000 | 0,0012420000 | 0,0012930000 | 0,0012690000 |
| 70        | 0,0005580000 | 0,0006360000 | 0,0008000000 | 0,0011300000 | 0,0008560000 | 0,0012420000 | 0,0012420000 | 0,0012620000 |
| 71        | 0,0005270000 | 0,0006070000 | 0,0007970000 | 0,0011480000 | 0,0008500000 | 0,0012450000 | 0,0012660000 | 0,0012560000 |
| 72        | 0,0005280000 | 0,0006090000 | 0,0008960000 | 0,0011290000 | 0,0008540000 | 0,0012490000 | 0,0012390000 | 0,0012700000 |
| 73        | 0,0005240000 | 0,0006020000 | 0,0008220000 | 0,0011300000 | 0,0008480000 | 0,0012420000 | 0,0012640000 | 0,0012650000 |
| 74        | 0,0005250000 | 0,0006040000 | 0,0007980000 | 0,0011240000 | 0,0008490000 | 0,0012460000 | 0,0012460000 | 0,0012640000 |
| 75        | 0,0005260000 | 0,0006060000 | 0,0008020000 | 0,0011310000 | 0,0008540000 | 0,0012440000 | 0,0012380000 | 0,0012650000 |
| 76        | 0,0005240000 | 0,0006050000 | 0,0008310000 | 0,0011300000 | 0,0008520000 | 0,0012360000 | 0,0012430000 | 0,0012580000 |
| 77        | 0,0005270000 | 0,0006050000 | 0,0008020000 | 0,0011290000 | 0,0008500000 | 0,0012410000 | 0,0012740000 | 0,0012640000 |
| 78        | 0,0005640000 | 0,0006300000 | 0,0008000000 | 0,0011760000 | 0,0008560000 | 0,0012970000 | 0,0012360000 | 0,0012620000 |
| 79        | 0,0005240000 | 0,0006090000 | 0,0008000000 | 0,0011300000 | 0,0008510000 | 0,0012410000 | 0,0012430000 | 0,0012620000 |
| 80        | 0,0005270000 | 0,0006090000 | 0,0008000000 | 0,0011400000 | 0,0008530000 | 0,0012440000 | 0,0012380000 | 0,0012670000 |
| 81        | 0,0005230000 | 0,0006020000 | 0,0007970000 | 0,0011190000 | 0,0008540000 | 0,0012380000 | 0,0012410000 | 0,0012850000 |
| 82        | 0,0005260000 | 0,0006100000 | 0,0007980000 | 0,0011530000 | 0,0008570000 | 0,0012430000 | 0,0012550000 | 0,0012620000 |
| 83        | 0,0005240000 | 0,0006380000 | 0,0007990000 | 0,0011340000 | 0,0008530000 | 0,0012740000 | 0,0012410000 | 0,0012610000 |
| 84        | 0,0005250000 | 0,0006470000 | 0,0008000000 | 0,0011140000 | 0,0008560000 | 0,0012630000 | 0,0012410000 | 0,0012630000 |
| 85        | 0,0005260000 | 0,0006050000 | 0,0008000000 | 0,0011340000 | 0,0008540000 | 0,0012530000 | 0,0012350000 | 0,0012630000 |
| 86        | 0,0005260000 | 0,0006060000 | 0,0008010000 | 0,0011270000 | 0,0008570000 | 0,0012610000 | 0,0012780000 | 0,0012560000 |
| 87        | 0,0005250000 | 0,0006070000 | 0,0008110000 | 0,0011310000 | 0,0008550000 | 0,0012890000 | 0,0012460000 | 0,0012870000 |
| 88        | 0,0005240000 | 0,0006100000 | 0,0008030000 | 0,0011300000 | 0,0008530000 | 0,0012400000 | 0,0012420000 | 0,0012710000 |
| 89        | 0,0005240000 | 0,0006040000 | 0,0008040000 | 0,0011270000 | 0,0008530000 | 0,0012350000 | 0,0012810000 | 0,0012690000 |
| 90        | 0,0005490000 | 0,0006100000 | 0,0007980000 | 0,0011280000 | 0,0008790000 | 0,0012410000 | 0,0012430000 | 0,0012700000 |
| 91        | 0,0005260000 | 0,0006080000 | 0,0008030000 | 0,0011210000 | 0,0008550000 | 0,0012430000 | 0,0012400000 | 0,0012820000 |
| 92        | 0,0005280000 | 0,0006060000 | 0,0008200000 | 0,0011320000 | 0,0008610000 | 0,0012420000 | 0,0012440000 | 0,0012620000 |
| 93        | 0,0005220000 | 0,0006070000 | 0,0007980000 | 0,0011320000 | 0,0008540000 | 0,0012390000 | 0,0012420000 | 0,0012630000 |
| 94        | 0,0005270000 | 0,0006020000 | 0,0008030000 | 0,0011320000 | 0,0008570000 | 0,0012400000 | 0,0012450000 | 0,0012610000 |
| 95        | 0,0005260000 | 0,0006050000 | 0,0008010000 | 0,0011530000 | 0,0008790000 | 0,0012660000 | 0,0012420000 | 0,0012640000 |
| 96        | 0,0005250000 | 0,0006060000 | 0,0007970000 | 0,0011250000 | 0,0008630000 | 0,0012450000 | 0,0012360000 | 0,0012820000 |
| 97        | 0,0005250000 | 0,0006100000 | 0,0007950000 | 0,0011220000 | 0,0008730000 | 0,0012480000 | 0,0012440000 | 0,0012790000 |
| 98        | 0,0005230000 | 0,0006100000 | 0,0007990000 | 0,0011240000 | 0,0008530000 | 0,0012400000 | 0,0012530000 | 0,0012590000 |
| 99        | 0,0005270000 | 0,0006260000 | 0,0008030000 | 0,0011330000 | 0,0008690000 | 0,0012360000 | 0,0012460000 | 0,0013110000 |
| 100       | 0,0005240000 | 0,0006050000 | 0,0008180000 | 0,0011260000 | 0,0008790000 | 0,0012460000 | 0,0012470000 | 0,0012640000 |
| PROMEDIO  | 0,0005276800 | 0,0006099700 | 0,0008051100 | 0,0011323000 | 0,0008569100 | 0,0012489500 | 0,0012473200 | 0,0012666200 |
